codelist,code,var_code,parent,order,slot_order,describes,applies_to_units,partition,requires,valid_with,value,status,notes
CL_SEX,F,,,1,,,,,,,,DRAFT,
CL_SEX,M,,,2,,,,,,,,DRAFT,
CL_AGE,Y_LT15,,,1,,,,,,,,DRAFT,
CL_AGE,Y15T24,,,2,,,,,,,,DRAFT,
CL_AGE,Y25T64,,,3,,,,,,,,DRAFT,
CL_AGE,Y_GE65,,,4,,,,,,,,DRAFT,
CL_URBANISATION,U,,,1,,,,,,,,DRAFT,
CL_URBANISATION,R,,,2,,,,,,,,DRAFT,
CL_URBANISATION,CAP,,U,3,,,,,,,,DRAFT,
CL_URBANISATION,OU,,U,4,,,,,,,,DRAFT,
CL_OBS_STATUS,A,,,1,,,,,,,,DRAFT,
CL_OBS_STATUS,E,,,2,,,,,,,,DRAFT,
CL_OBS_STATUS,O,,,3,,,,,,,,DRAFT,
CL_OBS_STATUS,M,,,4,,,,,,,,DRAFT,
CL_THEME,POV,,,1,,,,,,,,DRAFT,
CL_THEME,INEQ,,,2,,,,,,,,DRAFT,
CL_THEME,FISC,,,3,,,,,,,,DRAFT,
CL_THEME,POP,,,4,,,,,,,,DRAFT,
CL_THEME,CONS,,,5,,,,,,,,DRAFT,
CL_THEME,JOB,,,6,,,,,,,,DRAFT,
CL_THEME,HE,,,7,,,,,,,,DRAFT,
CL_THEME,AGR,,,8,,,,,,,,DRAFT,
CL_THEME,EN,,,9,,,,,,,,DRAFT,
CL_THEME,HOUS,,,10,,,,,,,,DRAFT,
CL_THEME,SHK,,,11,,,,,,,,DRAFT,
CL_THEME,SP,,,12,,,,,,,,DRAFT,
CL_STAT_UNIT,IND,,,1,,,,,,,,DRAFT,
CL_STAT_UNIT,HH,,,2,,,,,,,,DRAFT,
CL_STAT_UNIT,HE,,,3,,,,,,,,DRAFT,
CL_STAT_UNIT,PLOT,,,4,,,,,,,,DRAFT,
CL_STATISTIC,PROPORTION,,,1,,,,,,,,DRAFT,
CL_STATISTIC,MEAN,,,2,,,,,,,,DRAFT,
CL_STATISTIC,MEDIAN,,,3,,,,,,,,DRAFT,
CL_STATISTIC,TOTAL,,,4,,,,,,,,DRAFT,
CL_STATISTIC,RATIO_TOTALS,,,5,,,,,,,,DRAFT,
CL_STATISTIC,GINI,,,6,,,,,,,,DRAFT,
CL_STATISTIC,INDEX,,,7,,,,,,,,DRAFT,
CL_WEIGHT,POP,,,1,,,,,,,,DRAFT,
CL_WEIGHT,HH,,,2,,,,,,,,DRAFT,
CL_WEIGHT,IND,,,3,,,,,,,,DRAFT,
CL_WEIGHT,HE,,,4,,,,,,,,DRAFT,
CL_UNIT,SHARE,,,1,,,,,,,,DRAFT,
CL_UNIT,INDEX,,,2,,,,,,,,DRAFT,
CL_UNIT,PERSON,,,3,,,,,,,,DRAFT,
CL_UNIT,HH,,,4,,,,,,,,DRAFT,
CL_UNIT,HE,,,5,,,,,,,,DRAFT,
CL_UNIT,LCU,,,6,,,,,,,,DRAFT,
CL_UNIT,PPP_USD,,,7,,,,,,,,DRAFT,
CL_UNIT,HA,,,8,,,,,,,,DRAFT,
CL_UNIT,TLU,,,9,,,,,,,,DRAFT,
CL_UNIT,DAY,,,10,,,,,,,,DRAFT,
CL_UNIT,YEAR,,,11,,,,,,,,DRAFT,
CL_UNIT,COUNT,,,12,,,,,,,,DRAFT,
CL_AREA,SEN,,,1,,,,,,,,DRAFT,
CL_AREA,GNB,,,2,,,,,,,,DRAFT,
CL_BRK_VAR,QUINT,,,1,10,HH,IND HH HE,Y,,,,DRAFT,
CL_BRK_VAR,DEC_MKT,,,2,15,HH,IND HH,Y,,,,DRAFT,
CL_BRK_VAR,HHH_SEX,,,3,20,HHH,IND HH HE,Y,,,,DRAFT,
CL_BRK_VAR,HHH_AGE,,,4,30,HHH,IND HH HE,Y,,,,DRAFT,Cutoff unconfirmed (H17)
