file,position,column,status,description
DSD_AFW360_HH.csv,1,position,R,"1-26, the data file's column order."
DSD_AFW360_HH.csv,2,id,R,"Column name, exactly as it appears in the data file header."
DSD_AFW360_HH.csv,3,role,R,"constant, breakdown, reference, qualifier, measure, or attribute."
DSD_AFW360_HH.csv,4,codelist,C,"The CL_* file that constrains this column, where the column is coded."
DSD_AFW360_HH.csv,5,required,R,"R, C or O, as in tbl-columns."
DSD_AFW360_HH.csv,6,sentinel,C,"Which of _T/_Z is valid here, where either sentinel applies."
DSD_AFW360_HH.csv,7,description,R,What the column holds.
COLUMNS.csv,1,file,R,"File name of a metadata or content CSV, e.g. CL_GEO.csv."
COLUMNS.csv,2,position,R,1-based position of the column in that file.
COLUMNS.csv,3,column,R,"Column name, exactly as in the file's header."
COLUMNS.csv,4,status,R,"R (required), C (required when relevant) or O (optional)."
COLUMNS.csv,5,description,R,What the column holds.
AFW360_HH_<ISO3>_<YEAR>.csv,1,DATAFLOW,R,Constant AFW360_HH.
AFW360_HH_<ISO3>_<YEAR>.csv,2,REF_AREA,R,CL_AREA (ISO 3166-1 alpha-3).
AFW360_HH_<ISO3>_<YEAR>.csv,3,GEO,R,"CL_GEO, or _T for the whole country."
AFW360_HH_<ISO3>_<YEAR>.csv,4,TIME_PERIOD,R,4-digit year the estimate refers to.
AFW360_HH_<ISO3>_<YEAR>.csv,5,INDICATOR,R,CL_INDICATOR.
AFW360_HH_<ISO3>_<YEAR>.csv,6,SEX,R,"CL_SEX, _T, or _Z."
AFW360_HH_<ISO3>_<YEAR>.csv,7,AGE,R,"CL_AGE, _T, or _Z."
AFW360_HH_<ISO3>_<YEAR>.csv,8,URBANISATION,R,CL_URBANISATION or _T.
AFW360_HH_<ISO3>_<YEAR>.csv,9,COMP_BREAKDOWN_1,R,"CL_COMP_BREAKDOWN or _T; slot 1 of 5, filled left to right in slot_order."
AFW360_HH_<ISO3>_<YEAR>.csv,10,COMP_BREAKDOWN_2,R,CL_COMP_BREAKDOWN or _T; slot 2 of 5.
AFW360_HH_<ISO3>_<YEAR>.csv,11,COMP_BREAKDOWN_3,R,CL_COMP_BREAKDOWN or _T; slot 3 of 5.
AFW360_HH_<ISO3>_<YEAR>.csv,12,COMP_BREAKDOWN_4,R,CL_COMP_BREAKDOWN or _T; slot 4 of 5.
AFW360_HH_<ISO3>_<YEAR>.csv,13,COMP_BREAKDOWN_5,R,CL_COMP_BREAKDOWN or _T; slot 5 of 5.
AFW360_HH_<ISO3>_<YEAR>.csv,14,MEASURE_QUAL_1,R,"CL_QUALIFIER or _Z; slot 1 of 5, filled left to right in slot_order."
AFW360_HH_<ISO3>_<YEAR>.csv,15,MEASURE_QUAL_2,R,CL_QUALIFIER or _Z; slot 2 of 5.
AFW360_HH_<ISO3>_<YEAR>.csv,16,MEASURE_QUAL_3,R,CL_QUALIFIER or _Z; slot 3 of 5.
AFW360_HH_<ISO3>_<YEAR>.csv,17,MEASURE_QUAL_4,R,CL_QUALIFIER or _Z; slot 4 of 5.
AFW360_HH_<ISO3>_<YEAR>.csv,18,MEASURE_QUAL_5,R,CL_QUALIFIER or _Z; slot 5 of 5.
AFW360_HH_<ISO3>_<YEAR>.csv,19,OBS_VALUE,C,"Number, unrounded, base units; required unless OBS_STATUS is O or M."
AFW360_HH_<ISO3>_<YEAR>.csv,20,OBS_STATUS,R,"CL_OBS_STATUS: A, E, O or M."
AFW360_HH_<ISO3>_<YEAR>.csv,21,STD_ERR,C,Number >= 0; required where the statistic admits one (CL_STATISTIC.admits_se).
AFW360_HH_<ISO3>_<YEAR>.csv,22,CI_LOWER,C,"Number, 95%; required where STD_ERR is."
AFW360_HH_<ISO3>_<YEAR>.csv,23,CI_UPPER,C,"Number, 95%; required where STD_ERR is."
AFW360_HH_<ISO3>_<YEAR>.csv,24,N_OBS,R,"Integer >= 0 (except legacy ROUNDED_2DP files, where it is empty)."
AFW360_HH_<ISO3>_<YEAR>.csv,25,N_POP,R,"Number >= 0 (except legacy ROUNDED_2DP files, where it is empty)."
AFW360_HH_<ISO3>_<YEAR>.csv,26,OBS_COMMENT,O,"Free text, English; LEGACY_EMPTY: prefix required on O rows in ROUNDED_2DP files (D9)."
CL_SEX.csv,1,code,R,"The code itself; uppercase ASCII, digits, _; starts with a letter; <=32 chars."
CL_SEX.csv,2,name_en,R,Short English name.
CL_SEX.csv,3,definition_en,R,"Full English definition; required where a boundary is not obvious (age cutoffs, groupings, ranking rules)."
CL_SEX.csv,4,status,R,"DRAFT, ACTIVE or DEPRECATED."
CL_SEX.csv,5,version_added,R,metadata/VERSION value at which the code was added.
CL_SEX.csv,6,replaced_by,C,Required when status=DEPRECATED: the code that replaces it.
CL_SEX.csv,7,notes,O,Free text.
CL_AGE.csv,1,code,R,"The code itself; uppercase ASCII, digits, _; starts with a letter; <=32 chars."
CL_AGE.csv,2,name_en,R,Short English name.
CL_AGE.csv,3,definition_en,R,"Full English definition; required where a boundary is not obvious (age cutoffs, groupings, ranking rules)."
CL_AGE.csv,4,status,R,"DRAFT, ACTIVE or DEPRECATED."
CL_AGE.csv,5,version_added,R,metadata/VERSION value at which the code was added.
CL_AGE.csv,6,replaced_by,C,Required when status=DEPRECATED: the code that replaces it.
CL_AGE.csv,7,notes,O,Free text.
CL_URBANISATION.csv,1,code,R,"The code itself; uppercase ASCII, digits, _; starts with a letter; <=32 chars."
CL_URBANISATION.csv,2,name_en,R,Short English name.
CL_URBANISATION.csv,3,definition_en,R,"Full English definition; required where a boundary is not obvious (age cutoffs, groupings, ranking rules)."
CL_URBANISATION.csv,4,status,R,"DRAFT, ACTIVE or DEPRECATED."
CL_URBANISATION.csv,5,version_added,R,metadata/VERSION value at which the code was added.
CL_URBANISATION.csv,6,replaced_by,C,Required when status=DEPRECATED: the code that replaces it.
CL_URBANISATION.csv,7,notes,O,Free text.
CL_URBANISATION.csv,8,parent,C,U for CAP and OU (their parent category); empty for U and R.
CL_OBS_STATUS.csv,1,code,R,"The code itself; uppercase ASCII, digits, _; starts with a letter; <=32 chars."
CL_OBS_STATUS.csv,2,name_en,R,Short English name.
CL_OBS_STATUS.csv,3,definition_en,R,"Full English definition; required where a boundary is not obvious (age cutoffs, groupings, ranking rules)."
CL_OBS_STATUS.csv,4,status,R,"DRAFT, ACTIVE or DEPRECATED."
CL_OBS_STATUS.csv,5,version_added,R,metadata/VERSION value at which the code was added.
CL_OBS_STATUS.csv,6,replaced_by,C,Required when status=DEPRECATED: the code that replaces it.
CL_OBS_STATUS.csv,7,notes,O,Free text.
CL_THEME.csv,1,code,R,"The code itself; uppercase ASCII, digits, _; starts with a letter; <=32 chars."
CL_THEME.csv,2,name_en,R,Short English name.
CL_THEME.csv,3,definition_en,R,"Full English definition; required where a boundary is not obvious (age cutoffs, groupings, ranking rules)."
CL_THEME.csv,4,status,R,"DRAFT, ACTIVE or DEPRECATED."
CL_THEME.csv,5,version_added,R,metadata/VERSION value at which the code was added.
CL_THEME.csv,6,replaced_by,C,Required when status=DEPRECATED: the code that replaces it.
CL_THEME.csv,7,notes,O,Free text.
CL_UNIT.csv,1,code,R,"The code itself; uppercase ASCII, digits, _; starts with a letter; <=32 chars."
CL_UNIT.csv,2,name_en,R,Short English name.
CL_UNIT.csv,3,definition_en,R,"Full English definition; required where a boundary is not obvious (age cutoffs, groupings, ranking rules)."
CL_UNIT.csv,4,status,R,"DRAFT, ACTIVE or DEPRECATED."
CL_UNIT.csv,5,version_added,R,metadata/VERSION value at which the code was added.
CL_UNIT.csv,6,replaced_by,C,Required when status=DEPRECATED: the code that replaces it.
CL_UNIT.csv,7,notes,O,Free text.
CL_STAT_UNIT.csv,1,code,R,"The code itself; uppercase ASCII, digits, _; starts with a letter; <=32 chars."
CL_STAT_UNIT.csv,2,name_en,R,Short English name.
CL_STAT_UNIT.csv,3,definition_en,R,"Full English definition; required where a boundary is not obvious (age cutoffs, groupings, ranking rules)."
CL_STAT_UNIT.csv,4,status,R,"DRAFT, ACTIVE or DEPRECATED."
CL_STAT_UNIT.csv,5,version_added,R,metadata/VERSION value at which the code was added.
CL_STAT_UNIT.csv,6,replaced_by,C,Required when status=DEPRECATED: the code that replaces it.
CL_STAT_UNIT.csv,7,notes,O,Free text.
CL_STATISTIC.csv,1,code,R,"The code itself; uppercase ASCII, digits, _; starts with a letter; <=32 chars."
CL_STATISTIC.csv,2,name_en,R,Short English name.
CL_STATISTIC.csv,3,definition_en,R,"Full English definition; required where a boundary is not obvious (age cutoffs, groupings, ranking rules)."
CL_STATISTIC.csv,4,status,R,"DRAFT, ACTIVE or DEPRECATED."
CL_STATISTIC.csv,5,version_added,R,metadata/VERSION value at which the code was added.
CL_STATISTIC.csv,6,replaced_by,C,Required when status=DEPRECATED: the code that replaces it.
CL_STATISTIC.csv,7,notes,O,Free text.
CL_STATISTIC.csv,8,admits_se,R,Y/N: whether this statistic admits a standard error (gap o).
CL_WEIGHT.csv,1,code,R,"The code itself; uppercase ASCII, digits, _; starts with a letter; <=32 chars."
