check_id,scope,quantity,expected,tolerance,source
CELLS.SEN_National,SEN National,cells (rows x data-columns),1261,0,"R: readxl::read_excel(col_types='text'); nrow(data-cols) x ncol(data-cols), excluding the indicator column"
CELLS.SEN_National.NONEMPTY,SEN National,non-empty cells,1248,0,R: sum(!is.na(x) & trimws(x) != '') over the same matrix
CELLS.SEN_National.EMPTY,SEN National,empty cells,13,0,R: cells - nonempty
CELLS.SEN_ADM1,SEN ADM 1,cells (rows x data-columns),1358,0,"R: readxl::read_excel(col_types='text'); nrow(data-cols) x ncol(data-cols), excluding the indicator column"
CELLS.SEN_ADM1.NONEMPTY,SEN ADM 1,non-empty cells,1340,0,R: sum(!is.na(x) & trimws(x) != '') over the same matrix
CELLS.SEN_ADM1.EMPTY,SEN ADM 1,empty cells,18,0,R: cells - nonempty
CELLS.SEN_ZAE,SEN ZAE,cells (rows x data-columns),582,0,"R: readxl::read_excel(col_types='text'); nrow(data-cols) x ncol(data-cols), excluding the indicator column"
CELLS.SEN_ZAE.NONEMPTY,SEN ZAE,non-empty cells,575,0,R: sum(!is.na(x) & trimws(x) != '') over the same matrix
CELLS.SEN_ZAE.EMPTY,SEN ZAE,empty cells,7,0,R: cells - nonempty
CELLS.SEN_Departement,SEN Departement,cells (rows x data-columns),1148,0,"R: readxl::read_excel(col_types='text'); nrow(data-cols) x ncol(data-cols), excluding the indicator column"
CELLS.SEN_Departement.NONEMPTY,SEN Departement,non-empty cells,1142,0,R: sum(!is.na(x) & trimws(x) != '') over the same matrix
CELLS.SEN_Departement.EMPTY,SEN Departement,empty cells,6,0,R: cells - nonempty
CELLS.GNB_National,GNB National,cells (rows x data-columns),1261,0,"R: readxl::read_excel(col_types='text'); nrow(data-cols) x ncol(data-cols), excluding the indicator column"
CELLS.GNB_National.NONEMPTY,GNB National,non-empty cells,1233,0,R: sum(!is.na(x) & trimws(x) != '') over the same matrix
CELLS.GNB_National.EMPTY,GNB National,empty cells,28,0,R: cells - nonempty
CELLS.GNB_ADM1,GNB ADM 1,cells (rows x data-columns),873,0,"R: readxl::read_excel(col_types='text'); nrow(data-cols) x ncol(data-cols), excluding the indicator column"
