indicator,estimateBafatá,estimateBiombo,estimateBolama_Bijagós,estimateCacheu,estimateGabú,estimateOio,estimateQuinara,estimateSAB,estimateTombali
"Access to electricity (grid, SDG 7.1.1)",0.050000000000000003,0.10000000000000001,0.040000000000000001,0.059999999999999998,0.050000000000000003,0.029999999999999999,0,0.70000000000000007,0
Any power outage in last 7 days (grid-connected),0.25,0.14999999999999999,0.029999999999999999,0.57000000000000006,0.070000000000000007,1,0,0.27000000000000002,
Average outage duration (code),,5,2,3.6000000000000001,,1.47,,2.8500000000000001,
COICOP 10: education (share),0.02,0.040000000000000001,0.029999999999999999,0.029999999999999999,0.02,0.02,0.029999999999999999,0.050000000000000003,0.02
COICOP 11: restaurants & hotels (share),0.10000000000000001,0.12,0.070000000000000007,0.13,0.12,0.12,0.089999999999999997,0.14000000000000001,0.10000000000000001
COICOP 12: insurance & financial (share),0,0,0,0,0,0,0,0,0
COICOP 13: personal care & effects (share),0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01
COICOP 1: food & non-alc. beverages (share),0.47999999999999998,0.44,0.48999999999999999,0.41000000000000003,0.45000000000000001,0.42999999999999999,0.5,0.33000000000000002,0.5
COICOP 2: alcohol & tobacco (share),0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COICOP 3: clothing & footwear (share),0.070000000000000007,0.050000000000000003,0.050000000000000003,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.050000000000000003,0.059999999999999998
COICOP 4: housing & utilities (share),0.12,0.14000000000000001,0.16,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.11,0.17000000000000001,0.14000000000000001
COICOP 5: furnishings & equipment (share),0.050000000000000003,0.040000000000000001,0.040000000000000001,0.040000000000000001,0.040000000000000001,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.029999999999999999
COICOP 6: health (share),0.040000000000000001,0.029999999999999999,0.02,0.029999999999999999,0.050000000000000003,0.040000000000000001,0.029999999999999999,0.029999999999999999,0.029999999999999999
COICOP 7: transport (share),0.050000000000000003,0.040000000000000001,0.029999999999999999,0.040000000000000001,0.050000000000000003,0.040000000000000001,0.040000000000000001,0.059999999999999998,0.040000000000000001
COICOP 8: information & communication (share),0.070000000000000007,0.080000000000000002,0.080000000000000002,0.080000000000000002,0.059999999999999998,0.080000000000000002,0.070000000000000007,0.089999999999999997,0.050000000000000003
COICOP 9: recreation & culture (share),0,0,0,0,0,0,0,0.01,0
Connected to electricity grid (SDG7.1.1),0.050000000000000003,0.11,0.059999999999999998,0.089999999999999997,0.050000000000000003,0.029999999999999999,0.01,0.70999999999999996,0
Covariate economic shock,0.60999999999999999,0.54000000000000004,0.44,0.66000000000000003,0.70999999999999996,0.55000000000000004,0.66000000000000003,0.69000000000000006,0.64000000000000001
"Covariate natural shock (drought, flood, etc.)",0.41999999999999998,0.31,0.22,0.47000000000000003,0.5,0.39000000000000001,0.48999999999999999,0.11,0.57999999999999996
Covariate violence/conflict shock,0.070000000000000007,0.080000000000000002,0.02,0.059999999999999998,0.080000000000000002,0.029999999999999999,0.070000000000000007,0.01,0.089999999999999997
Cultivated area (ha),3.6099999999999999,2.1600000000000001,2.0100000000000002,14.880000000000001,2.1899999999999999,2.8199999999999998,148439533.91,1.3,2.0800000000000001
Days with an outage (last 7),5.96,1.1799999999999999,3,3.8300000000000001,2,3.75,,2.02,
Durable floor materials,0.54000000000000004,0.46000000000000002,0.31,0.47000000000000003,0.5,0.28999999999999998,0.41000000000000003,0.96999999999999997,0.28999999999999998
Durable roof materials,0.95999999999999996,0.94000000000000006,0.56000000000000005,0.94000000000000006,0.93000000000000005,0.93000000000000005,0.83000000000000007,1,0.69000000000000006
Durable wall materials,0.23000000000000001,0.17999999999999999,0.23000000000000001,0.26000000000000001,0.41999999999999998,0.23000000000000001,0.34000000000000002,0.46000000000000002,0.22
"Employed (activ12m, 15–64)",0.80000000000000004,0.67000000000000004,0.69000000000000006,0.71999999999999997,0.75,0.82000000000000006,0.83000000000000007,0.47999999999999998,0.83999999999999997
Employed in agriculture (% of employed),0.79000000000000004,0.67000000000000004,0.77000000000000002,0.73999999999999999,0.78000000000000003,0.83999999999999997,0.83999999999999997,0.059999999999999998,0.83999999999999997
Employed in industry (% of employed),0.070000000000000007,0.12,0.059999999999999998,0.080000000000000002,0.059999999999999998,0.059999999999999998,0.040000000000000001,0.26000000000000001,0.050000000000000003
Employed in services (% of employed),0.13,0.20999999999999999,0.17000000000000001,0.17999999999999999,0.16,0.10000000000000001,0.11,0.68000000000000005,0.11
Exposed to any shock (past 3 years),0.88,0.81000000000000005,0.79000000000000004,0.87,0.92000000000000004,0.94000000000000006,0.95999999999999996,0.88,0.91000000000000003
Food consumption share,0.47999999999999998,0.44,0.48999999999999999,0.41000000000000003,0.45000000000000001,0.42999999999999999,0.5,0.33000000000000002,0.5
HE age (years),5.75,8.8599999999999994,5.79,7.7000000000000002,4.5600000000000005,5.3200000000000003,5.7300000000000004,5.8799999999999999,5.8399999999999999
HE buys from firms/state,0.10000000000000001,0.089999999999999997,0,0.22,0.23999999999999999,0.070000000000000007,0.050000000000000003,0.19,0.029999999999999999
HE capital stock (FCFA),20159.68,16861.240000000002,714.77999999999997,20916.580000000002,29886.950000000001,42104.620000000003,8941.880000000001,7170.2200000000003,146256.84
HE costs (FCFA),3000.29,3049.1799999999998,1380.24,2723,2952.8299999999999,1240.6200000000001,2652.54,5762.6300000000001,660.73000000000002
HE has any credit access,0.29999999999999999,0.37,0.13,0.35999999999999999,0.28999999999999998,0.26000000000000001,0.35000000000000003,0.26000000000000001,0.27000000000000002
HE has electricity,,,,0,1,1,0,0.83000000000000007,
HE has external (non-HH) employees,1,1,1,1,1,1,1,1,1
HE has formal credit access,0,0.17000000000000001,0,0.029999999999999999,0,0.029999999999999999,0.029999999999999999,0.01,0.10000000000000001
HE has formal premises,0,0,0,0.050000000000000003,0.040000000000000001,0.029999999999999999,0.10000000000000001,0.050000000000000003,0
HE has informal credit access,0.29999999999999999,0.20000000000000001,0.13,0.33000000000000002,0.28999999999999998,0.26000000000000001,0.32000000000000001,0.23999999999999999,0.17000000000000001
HE has phone,1,1,1,1,1,1,0.91000000000000003,0.97999999999999998,0.96999999999999997
HE has tax ID,0.059999999999999998,0.10000000000000001,0,0.080000000000000002,0.059999999999999998,0.070000000000000007,0.080000000000000002,0.10000000000000001,0.029999999999999999
HE has water,,,,0,0.57000000000000006,1,0,0.29999999999999999,
HE keeps accounts,0.10000000000000001,0,0,0,0.12,0.070000000000000007,0.050000000000000003,0.040000000000000001,0
HE operates from home,0.68000000000000005,0.47999999999999998,0.35999999999999999,0.54000000000000004,0.42999999999999999,0.62,0.59999999999999998,0.58999999999999997,0.71999999999999997
HE pays rent,,,,1,1,1,1,1,
HE profits (FCFA),2888.0599999999999,2053.9700000000003,1217.03,2674.3899999999999,3714.3200000000002,912.52999999999997,2375.6900000000001,8735.7000000000007,1391.6100000000001
HE revenue per worker (FCFA),,,,650000,,,,156896.88,
HE sells to firms/state,0.059999999999999998,0.14000000000000001,0.059999999999999998,0.16,0.050000000000000003,0.029999999999999999,0,0.059999999999999998,0.13
HH cultivates agricultural land (superf > 0),0.87,0.75,0.76000000000000001,0.85999999999999999,0.84999999999999998,0.91000000000000003,0.87,0.080000000000000002,0.93000000000000005
HH employees in HE,0,0,0,0,0,0,0,0,0
HH has 0 HE,0.41999999999999998,0.42999999999999999,0.55000000000000004,0.46000000000000002,0.51000000000000001,0.52000000000000002,0.34000000000000002,0.29999999999999999,0.42999999999999999
HH has 1 HE,0.42999999999999999,0.47000000000000003,0.39000000000000001,0.46000000000000002,0.38,0.35999999999999999,0.48999999999999999,0.54000000000000004,0.5
HH has 2 HE,0.13,0.10000000000000001,0.059999999999999998,0.089999999999999997,0.10000000000000001,0.11,0.17000000000000001,0.13,0.050000000000000003
HH has 3 HE,0.02,0,0,0,0.01,0.01,0,0.02,0.01
HH has 4+ HE,0,0,0,0,0,0,0.01,0,0
HH has internet access,,,,,,,,0,
HH has non-agric enterprise owner,0.37,0.38,0.23999999999999999,0.32000000000000001,0.34000000000000002,0.22,0.28999999999999998,0.67000000000000004,0.23000000000000001
HH owns a non-agric enterprise,0.57999999999999996,0.57000000000000006,0.45000000000000001,0.54000000000000004,0.48999999999999999,0.47999999999999998,0.66000000000000003,0.70000000000000007,0.57000000000000006
HH owns any livestock,0.80000000000000004,0.71999999999999997,0.79000000000000004,0.83999999999999997,0.80000000000000004,0.83999999999999997,0.83999999999999997,0.22,0.87
Has health insurance/coverage (couvmal),0,0,0,0,0,0,0,0.01,0
Housing & utilities burden (COICOP 4 share of total cons.),0.12,0.14000000000000001,0.16,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.11,0.17000000000000001,0.14000000000000001
Idiosyncratic economic shock,0.25,0.23000000000000001,0.23999999999999999,0.28000000000000003,0.28999999999999998,0.35999999999999999,0.39000000000000001,0.31,0.41000000000000003
Improved lighting (grid or solar),0.070000000000000007,0.12,0.050000000000000003,0.080000000000000002,0.070000000000000007,0.059999999999999998,0.02,0.80000000000000004,0
Informal electricity connection (neighbour/pole),0.01,0,0,0,0,0.029999999999999999,0,0.040000000000000001,0
Main HE owner is female,0.57999999999999996,0.47999999999999998,0.60999999999999999,0.70999999999999996,0.62,0.71999999999999997,0.53000000000000003,0.62,0.5
Main HE owner is married,0.51000000000000001,0.32000000000000001,0.28000000000000003,0.23999999999999999,0.60999999999999999,0.66000000000000003,0.29999999999999999,0.25,0.34000000000000002
Market food share (% total cons.),0.28999999999999998,0.28999999999999998,0.23999999999999999,0.27000000000000002,0.28999999999999998,0.26000000000000001,0.23999999999999999,0.28999999999999998,0.17999999999999999
Monthly electricity spend (FCFA),17207.349999999999,10268.800000000001,13767.110000000001,24717.16,21387.100000000002,4673.1300000000001,12000,14097.700000000001,
Non-HH employees in HE,0.52000000000000002,0.41000000000000003,0.47000000000000003,0.32000000000000001,0.57000000000000006,0.22,0.17999999999999999,0.64000000000000001,0.040000000000000001
Non-food consumption share,0.53000000000000003,0.57000000000000006,0.51000000000000001,0.58999999999999997,0.55000000000000004,0.57000000000000006,0.51000000000000001,0.68000000000000005,0.5
Non-wage employed (% of employed),0.91000000000000003,0.78000000000000003,0.80000000000000004,0.83000000000000007,0.85999999999999999,0.83000000000000007,0.94000000000000006,0.47999999999999998,0.93000000000000005
Number of employees in HE,0,0,0,0.050000000000000003,0,0,0,0.46000000000000002,0
Number poor $3.00/day (millions),0.11,0.040000000000000001,0.02,0.089999999999999997,0.13,0.19,0.050000000000000003,0.02,0.050000000000000003
Number poor $4.20/day (millions),0.16,0.070000000000000007,0.029999999999999999,0.14999999999999999,0.17999999999999999,0.25,0.070000000000000007,0.10000000000000001,0.080000000000000002
Own-production food share (% total cons.),0.14999999999999999,0.089999999999999997,0.17000000000000001,0.10000000000000001,0.13,0.13,0.20000000000000001,0.01,0.26000000000000001
Owns ceiling fan,0,0,0,0.01,0,0,0,0.070000000000000007,0
Owns wall AC/split,0,0,0,0,0,0,0,0.029999999999999999,0
Owns water heater,0,0.02,0.01,0,0,0,0,0.070000000000000007,0
Poor at $3.00/day (2021 PPP),0.5,0.42999999999999999,0.5,0.41000000000000003,0.58999999999999997,0.66000000000000003,0.58999999999999997,0.040000000000000001,0.47999999999999998
