indicator,estimateTotal,estimateCapital,estimateOther_Urban,estimateRural,estimateFemale_HH,estimateMale_HH,estimateYouth_HH,estimateOlder_HH,estimateQ1,estimateQ2,estimateQ3,estimateQ4,estimateQ5
"Access to electricity (grid, SDG 7.1.1)",0.23000000000000001,0.01,0.54000000000000004,0.01,0.38,0.19,0.22,0.23000000000000001,0.02,0.10000000000000001,0.17999999999999999,0.29999999999999999,0.53000000000000003
Any power outage in last 7 days (grid-connected),0.28999999999999998,0.02,0.28999999999999998,0.27000000000000002,0.29999999999999999,0.28000000000000003,0.23000000000000001,0.29999999999999999,0.34000000000000002,0.41000000000000003,0.10000000000000001,0.27000000000000002,0.33000000000000002
Average outage duration (code),2.7800000000000002,2,2.8000000000000003,2.1800000000000002,2.3700000000000001,3.04,3.5700000000000003,2.6899999999999999,,2.6099999999999999,3.9100000000000001,2.3599999999999999,2.8999999999999999
COICOP 10: education (share),0.029999999999999999,0.029999999999999999,0.050000000000000003,0.02,0.040000000000000001,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.040000000000000001,0.029999999999999999
COICOP 11: restaurants & hotels (share),0.12,0.089999999999999997,0.14000000000000001,0.11,0.12,0.12,0.12,0.12,0.080000000000000002,0.11,0.13,0.13,0.14999999999999999
COICOP 12: insurance & financial (share),0,0,0,0,0,0,0,0,0,0,0,0,0
COICOP 13: personal care & effects (share),0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02
COICOP 1: food & non-alc. beverages (share),0.41999999999999998,0.5,0.34000000000000002,0.47000000000000003,0.39000000000000001,0.41999999999999998,0.41999999999999998,0.41000000000000003,0.47000000000000003,0.44,0.41999999999999998,0.40000000000000002,0.35999999999999999
COICOP 2: alcohol & tobacco (share),0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COICOP 3: clothing & footwear (share),0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.050000000000000003,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.050000000000000003
COICOP 4: housing & utilities (share),0.14000000000000001,0.13,0.16,0.13,0.16,0.14000000000000001,0.14999999999999999,0.14000000000000001,0.14999999999999999,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14999999999999999
COICOP 5: furnishings & equipment (share),0.040000000000000001,0.040000000000000001,0.050000000000000003,0.040000000000000001,0.050000000000000003,0.040000000000000001,0.040000000000000001,0.040000000000000001,0.050000000000000003,0.040000000000000001,0.040000000000000001,0.040000000000000001,0.050000000000000003
COICOP 6: health (share),0.029999999999999999,0.029999999999999999,0.029999999999999999,0.040000000000000001,0.029999999999999999,0.040000000000000001,0.029999999999999999,0.029999999999999999,0.040000000000000001,0.040000000000000001,0.029999999999999999,0.029999999999999999,0.029999999999999999
COICOP 7: transport (share),0.050000000000000003,0.040000000000000001,0.050000000000000003,0.040000000000000001,0.040000000000000001,0.050000000000000003,0.040000000000000001,0.050000000000000003,0.029999999999999999,0.040000000000000001,0.040000000000000001,0.050000000000000003,0.070000000000000007
COICOP 8: information & communication (share),0.080000000000000002,0.059999999999999998,0.089999999999999997,0.070000000000000007,0.070000000000000007,0.080000000000000002,0.080000000000000002,0.080000000000000002,0.070000000000000007,0.080000000000000002,0.070000000000000007,0.080000000000000002,0.089999999999999997
COICOP 9: recreation & culture (share),0,0,0,0,0,0,0,0,0,0,0,0,0
Connected to electricity grid (SDG7.1.1),0.27000000000000002,0.01,0.55000000000000004,0.01,0.45000000000000001,0.23000000000000001,0.23999999999999999,0.28000000000000003,0.029999999999999999,0.11,0.16,0.34000000000000002,0.60999999999999999
Covariate economic shock,0.64000000000000001,0.60999999999999999,0.67000000000000004,0.62,0.66000000000000003,0.63,0.57999999999999996,0.65000000000000002,0.58999999999999997,0.62,0.65000000000000002,0.67000000000000004,0.67000000000000004
"Covariate natural shock (drought, flood, etc.)",0.35000000000000003,0.48999999999999999,0.14999999999999999,0.48999999999999999,0.25,0.37,0.33000000000000002,0.35000000000000003,0.42999999999999999,0.42999999999999999,0.37,0.29999999999999999,0.20999999999999999
