indicator,estimateZona_Plana_de_Centro_Bis,estimateZonas_Costeiras_do_Sul,estimateZonas_Montanhosas_de_Les,estimateZonas_Planas_de_Norte
"Access to electricity (grid, SDG 7.1.1)",0.70000000000000007,0.01,0.050000000000000003,0.050000000000000003
Any power outage in last 7 days (grid-connected),0.27000000000000002,0.02,0.14999999999999999,0.60999999999999999
Average outage duration (code),2.8500000000000001,2,,2.3700000000000001
COICOP 10: education (share),0.050000000000000003,0.029999999999999999,0.02,0.029999999999999999
COICOP 11: restaurants & hotels (share),0.14000000000000001,0.089999999999999997,0.11,0.12
COICOP 12: insurance & financial (share),0,0,0,0
COICOP 13: personal care & effects (share),0.02,0.01,0.01,0.02
COICOP 1: food & non-alc. beverages (share),0.33000000000000002,0.5,0.46000000000000002,0.42999999999999999
COICOP 2: alcohol & tobacco (share),0.01,0.01,0.01,0.01
COICOP 3: clothing & footwear (share),0.050000000000000003,0.059999999999999998,0.059999999999999998,0.059999999999999998
COICOP 4: housing & utilities (share),0.17000000000000001,0.13,0.13,0.14000000000000001
COICOP 5: furnishings & equipment (share),0.050000000000000003,0.040000000000000001,0.040000000000000001,0.050000000000000003
COICOP 6: health (share),0.029999999999999999,0.029999999999999999,0.040000000000000001,0.029999999999999999
COICOP 7: transport (share),0.059999999999999998,0.040000000000000001,0.050000000000000003,0.040000000000000001
COICOP 8: information & communication (share),0.089999999999999997,0.059999999999999998,0.059999999999999998,0.080000000000000002
COICOP 9: recreation & culture (share),0.01,0,0,0
Connected to electricity grid (SDG7.1.1),0.70999999999999996,0.01,0.050000000000000003,0.059999999999999998
Covariate economic shock,0.69000000000000006,0.60999999999999999,0.66000000000000003,0.58999999999999997
"Covariate natural shock (drought, flood, etc.)",0.11,0.48999999999999999,0.46000000000000002,0.41000000000000003
Covariate violence/conflict shock,0.01,0.070000000000000007,0.080000000000000002,0.050000000000000003
Cultivated area (ha),1.3,53028771.380000003,2.8999999999999999,7.0800000000000001
Days with an outage (last 7),2.02,3,5.0300000000000002,3.6299999999999999
Durable floor materials,0.96999999999999997,0.33000000000000002,0.52000000000000002,0.38
Durable roof materials,1,0.71999999999999997,0.95000000000000007,0.94000000000000006
Durable wall materials,0.46000000000000002,0.26000000000000001,0.33000000000000002,0.23000000000000001
"Employed (activ12m, 15–64)",0.47999999999999998,0.81000000000000005,0.78000000000000003,0.76000000000000001
Employed in agriculture (% of employed),0.059999999999999998,0.83000000000000007,0.79000000000000004,0.78000000000000003
Employed in industry (% of employed),0.26000000000000001,0.050000000000000003,0.070000000000000007,0.080000000000000002
Employed in services (% of employed),0.68000000000000005,0.12,0.14000000000000001,0.14000000000000001
Exposed to any shock (past 3 years),0.88,0.91000000000000003,0.90000000000000002,0.90000000000000002
Food consumption share,0.33000000000000002,0.5,0.46000000000000002,0.42999999999999999
HE age (years),5.8799999999999999,5.7800000000000002,5.1799999999999997,6.9199999999999999
HE buys from firms/state,0.19,0.040000000000000001,0.17000000000000001,0.14000000000000001
HE capital stock (FCFA),7170.2200000000003,60437.860000000001,24812.290000000001,28849.330000000002
HE costs (FCFA),5762.6300000000001,1456.6800000000001,2975.6799999999998,2112.96
HE has any credit access,0.26000000000000001,0.28000000000000003,0.29999999999999999,0.32000000000000001
HE has electricity,0.83000000000000007,0,1,0.51000000000000001
HE has external (non-HH) employees,1,1,1,1
HE has formal credit access,0.01,0.050000000000000003,0,0.050000000000000003
HE has formal premises,0.050000000000000003,0.040000000000000001,0.02,0.040000000000000001
HE has informal credit access,0.23999999999999999,0.23000000000000001,0.29999999999999999,0.28000000000000003
HE has phone,0.97999999999999998,0.95000000000000007,1,1
HE has tax ID,0.10000000000000001,0.050000000000000003,0.059999999999999998,0.080000000000000002
HE has water,0.29999999999999999,0,0.57000000000000006,0.51000000000000001
HE keeps accounts,0.040000000000000001,0.02,0.11,0.029999999999999999
HE operates from home,0.58999999999999997,0.59999999999999998,0.56000000000000005,0.56000000000000005
HE pays rent,1,1,1,1
HE profits (FCFA),8735.7000000000007,1684.51,3316.5,1796.1200000000001
HE revenue per worker (FCFA),156896.88,,,650000
HE sells to firms/state,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.11
HH cultivates agricultural land (superf > 0),0.080000000000000002,0.88,0.85999999999999999,0.87
HH employees in HE,0,0,0,0
HH has 0 HE,0.29999999999999999,0.41999999999999998,0.47000000000000003,0.47999999999999998
HH has 1 HE,0.54000000000000004,0.47999999999999998,0.40000000000000002,0.41999999999999998
HH has 2 HE,0.13,0.089999999999999997,0.12,0.10000000000000001
HH has 3 HE,0.02,0,0.01,0.01
HH has 4+ HE,0,0,0,0
HH has internet access,0,,,
HH has non-agric enterprise owner,0.67000000000000004,0.25,0.35999999999999999,0.28000000000000003
HH owns a non-agric enterprise,0.70000000000000007,0.57999999999999996,0.53000000000000003,0.52000000000000002
HH owns any livestock,0.22,0.83999999999999997,0.80000000000000004,0.82000000000000006
Has health insurance/coverage (couvmal),0.01,0,0,0
Housing & utilities burden (COICOP 4 share of total cons.),0.17000000000000001,0.13,0.13,0.14000000000000001
Idiosyncratic economic shock,0.31,0.38,0.27000000000000002,0.31
Improved lighting (grid or solar),0.80000000000000004,0.02,0.070000000000000007,0.080000000000000002
Informal electricity connection (neighbour/pole),0.040000000000000001,0,0.01,0.01
Main HE owner is female,0.62,0.53000000000000003,0.59999999999999998,0.68000000000000005
Main HE owner is married,0.25,0.31,0.56000000000000005,0.41999999999999998
Market food share (% total cons.),0.28999999999999998,0.20999999999999999,0.28999999999999998,0.27000000000000002
Monthly electricity spend (FCFA),14097.700000000001,13524.08,19409.330000000002,18152.77
Non-HH employees in HE,0.64000000000000001,0.17999999999999999,0.54000000000000004,0.29999999999999999
Non-food consumption share,0.68000000000000005,0.5,0.54000000000000004,0.57999999999999996
Non-wage employed (% of employed),0.47999999999999998,0.91000000000000003,0.89000000000000001,0.82000000000000006
Number of employees in HE,0.46000000000000002,0,0,0.029999999999999999
Number poor $3.00/day (millions),0.02,0.11,0.23999999999999999,0.32000000000000001
Number poor $4.20/day (millions),0.10000000000000001,0.17000000000000001,0.34000000000000002,0.47000000000000003
Own-production food share (% total cons.),0.01,0.22,0.14000000000000001,0.11
Owns ceiling fan,0.070000000000000007,0,0,0.01
Owns wall AC/split,0.029999999999999999,0,0,0
Owns water heater,0.070000000000000007,0,0,0
Poor at $3.00/day (2021 PPP),0.040000000000000001,0.52000000000000002,0.55000000000000004,0.53000000000000003
Poor at $4.20/day (2021 PPP),0.20999999999999999,0.79000000000000004,0.77000000000000002,0.78000000000000003
Prepaid meter (among grid-connected),0.65000000000000002,0,0.33000000000000002,0.27000000000000002
Primary cooking fuel biomass (wood/charcoal),0.94000000000000006,0.98999999999999999,0.98999999999999999,0.98999999999999999
Primary cooking fuel clean (gas/electricity),0.050000000000000003,0,0,0
Proxy: owns gas/electric cooker (cuisin),0.13,0.01,0.01,0.01
Safe drinking water – dry season,0.95999999999999996,0.57999999999999996,0.73999999999999999,0.64000000000000001
Sanitary toilet facility,0.57000000000000006,0.089999999999999997,0.14999999999999999,0.13
Share of HH workers in trade/commerce,0.26000000000000001,0.059999999999999998,0.089999999999999997,0.080000000000000002
Share of HH workers in transport,0.059999999999999998,0.01,0.02,0.02
Share of HH workers informally employed,0.47000000000000003,0.89000000000000001,0.87,0.80000000000000004
Tropical Livestock Units (TLU),0.13,2.1600000000000001,4.8600000000000003,2.54
Uses grid electricity,0.80000000000000004,0.01,0.059999999999999998,0.059999999999999998
Uses solar/generator electricity,0.040000000000000001,0.66000000000000003,0.70999999999999996,0.57000000000000006
Wage-employed (% of employed),0.52000000000000002,0.089999999999999997,0.11,0.17999999999999999
wood_dist [ALL MISSING],,,,
≥1 HH member has health coverage (proxy social protection),0.029999999999999999,0,0,0
