indicator,estimateDAKAR,estimateDIOURBEL,estimateFATICK,estimateKAFFRINE,estimateKAOLACK,estimateKEDOUGOU,estimateKOLDA,estimateLOUGA,estimateMATAM,estimateSAINT_LOUIS,estimateSEDHIOU,estimateTAMBACOUNDA,estimateTHIES,estimateZIGUINCHOR
"Access to electricity (grid, SDG 7.1.1)",0.96999999999999997,0.72999999999999998,0.53000000000000003,0.47000000000000003,0.66000000000000003,0.19,0.27000000000000002,0.51000000000000001,0.56000000000000005,0.65000000000000002,0.38,0.41000000000000003,0.75,0.71999999999999997
Any power outage in last 7 days (grid-connected),0.37,0.29999999999999999,0.46000000000000002,0.080000000000000002,0.57000000000000006,0.20000000000000001,0.25,0.58999999999999997,0.12,0.25,0.33000000000000002,0.29999999999999999,0.17999999999999999,0.32000000000000001
Average outage duration (code),1.78,1.6600000000000001,1.9100000000000001,1.3300000000000001,1.53,1.98,1.98,1.3600000000000001,1.3,3.0899999999999999,1.9399999999999999,2.23,1.71,1.9199999999999999
COICOP 10: education (share),0.029999999999999999,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.029999999999999999
COICOP 11: restaurants & hotels (share),0.14999999999999999,0.10000000000000001,0.070000000000000007,0.080000000000000002,0.089999999999999997,0.080000000000000002,0.089999999999999997,0.050000000000000003,0.059999999999999998,0.070000000000000007,0.070000000000000007,0.070000000000000007,0.089999999999999997,0.070000000000000007
COICOP 12: insurance & financial (share),0,0,0,0,0,0,0,0,0,0,0,0,0,0
COICOP 13: personal care & effects (share),0.029999999999999999,0.029999999999999999,0.02,0.02,0.02,0.02,0.029999999999999999,0.02,0.029999999999999999,0.029999999999999999,0.02,0.02,0.029999999999999999,0.02
COICOP 1: food & non-alc. beverages (share),0.33000000000000002,0.46000000000000002,0.48999999999999999,0.5,0.47000000000000003,0.44,0.47000000000000003,0.52000000000000002,0.55000000000000004,0.51000000000000001,0.5,0.5,0.44,0.44
COICOP 2: alcohol & tobacco (share),0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
COICOP 3: clothing & footwear (share),0.050000000000000003,0.050000000000000003,0.050000000000000003,0.059999999999999998,0.050000000000000003,0.070000000000000007,0.059999999999999998,0.050000000000000003,0.050000000000000003,0.059999999999999998,0.050000000000000003,0.059999999999999998,0.059999999999999998,0.050000000000000003
COICOP 4: housing & utilities (share),0.19,0.17999999999999999,0.16,0.17999999999999999,0.17000000000000001,0.16,0.12,0.17000000000000001,0.14999999999999999,0.14999999999999999,0.16,0.16,0.16,0.19
COICOP 5: furnishings & equipment (share),0.059999999999999998,0.059999999999999998,0.059999999999999998,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.040000000000000001,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.040000000000000001,0.029999999999999999,0.059999999999999998,0.050000000000000003
COICOP 6: health (share),0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.02,0.029999999999999999,0.040000000000000001,0.040000000000000001,0.040000000000000001,0.040000000000000001,0.02,0.029999999999999999,0.029999999999999999,0.029999999999999999
COICOP 7: transport (share),0.050000000000000003,0.029999999999999999,0.02,0.029999999999999999,0.029999999999999999,0.050000000000000003,0.050000000000000003,0.02,0.02,0.029999999999999999,0.040000000000000001,0.029999999999999999,0.029999999999999999,0.029999999999999999
COICOP 8: information & communication (share),0.070000000000000007,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.059999999999999998,0.080000000000000002,0.059999999999999998,0.050000000000000003,0.050000000000000003,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.070000000000000007
COICOP 9: recreation & culture (share),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connected to electricity grid (SDG7.1.1),0.98999999999999999,1,0.96999999999999997,0.96999999999999997,0.97999999999999998,1,0.97999999999999998,0.97999999999999998,0.95000000000000007,1,0.98999999999999999,1,1,0.83999999999999997
Covariate economic shock,0.28000000000000003,0.70000000000000007,0.37,0.60999999999999999,0.5,0.41999999999999998,0.33000000000000002,0.40000000000000002,0.44,0.62,0.35999999999999999,0.42999999999999999,0.31,0.17999999999999999
"Covariate natural shock (drought, flood, etc.)",0.10000000000000001,0.20999999999999999,0.20999999999999999,0.25,0.23999999999999999,0.25,0.37,0.26000000000000001,0.44,0.41000000000000003,0.20000000000000001,0.22,0.19,0.14000000000000001
Covariate violence/conflict shock,0,0,0.01,0.01,0.01,0.070000000000000007,0.029999999999999999,0.01,0.070000000000000007,0.029999999999999999,0,0.02,0.01,0.02
Cultivated area (ha),0.66000000000000003,3.6899999999999999,4.0600000000000005,5.9400000000000004,4.2400000000000002,2.3799999999999999,4.8500000000000005,5.9500000000000002,1.6300000000000001,2.6600000000000001,3.1400000000000001,4.5499999999999998,3.0500000000000003,1.1400000000000001
Days with an outage (last 7),2.7200000000000002,1.8600000000000001,2.2600000000000002,1.3300000000000001,1.5,2.1699999999999999,2,2.71,2.6000000000000001,1.5,1.9299999999999999,1.55,1.4000000000000001,3.5800000000000001
Durable floor materials,0.95999999999999996,0.78000000000000003,0.85999999999999999,0.63,0.88,0.63,0.56000000000000005,0.76000000000000001,0.64000000000000001,0.72999999999999998,0.64000000000000001,0.57999999999999996,0.92000000000000004,0.77000000000000002
Durable roof materials,0.98999999999999999,0.93000000000000005,0.89000000000000001,0.64000000000000001,0.90000000000000002,0.52000000000000002,0.65000000000000002,0.82000000000000006,0.84999999999999998,0.84999999999999998,0.96999999999999997,0.66000000000000003,0.95999999999999996,0.98999999999999999
Durable wall materials,0.98999999999999999,0.85999999999999999,0.96999999999999997,0.83999999999999997,0.95000000000000007,0.88,0.93000000000000005,0.79000000000000004,0.82000000000000006,0.91000000000000003,0.89000000000000001,0.84999999999999998,0.92000000000000004,0.84999999999999998
"Employed (activ12m, 15–64)",0.56000000000000005,0.57000000000000006,0.64000000000000001,0.67000000000000004,0.55000000000000004,0.57000000000000006,0.64000000000000001,0.54000000000000004,0.54000000000000004,0.54000000000000004,0.65000000000000002,0.48999999999999999,0.60999999999999999,0.48999999999999999
Employed in agriculture (% of employed),0.029999999999999999,0.20999999999999999,0.5,0.70999999999999996,0.35999999999999999,0.47000000000000003,0.59999999999999998,0.39000000000000001,0.48999999999999999,0.42999999999999999,0.66000000000000003,0.57999999999999996,0.25,0.23999999999999999
Employed in industry (% of employed),0.32000000000000001,0.31,0.17000000000000001,0.10000000000000001,0.22,0.28999999999999998,0.14999999999999999,0.23000000000000001,0.20000000000000001,0.20000000000000001,0.14000000000000001,0.17000000000000001,0.27000000000000002,0.29999999999999999
Employed in services (% of employed),0.65000000000000002,0.47999999999999998,0.33000000000000002,0.19,0.42999999999999999,0.23999999999999999,0.26000000000000001,0.38,0.29999999999999999,0.35999999999999999,0.20999999999999999,0.23999999999999999,0.47999999999999998,0.46000000000000002
Exposed to any shock (past 3 years),0.54000000000000004,0.85999999999999999,0.55000000000000004,0.83000000000000007,0.72999999999999998,0.68000000000000005,0.78000000000000003,0.60999999999999999,0.80000000000000004,0.82000000000000006,0.62,0.66000000000000003,0.60999999999999999,0.46000000000000002
Food consumption share,0.33000000000000002,0.46000000000000002,0.48999999999999999,0.5,0.47000000000000003,0.44,0.47000000000000003,0.52000000000000002,0.55000000000000004,0.51000000000000001,0.5,0.5,0.44,0.44
HE age (years),10.9,6.7400000000000002,11.32,11.390000000000001,4.6600000000000001,11.390000000000001,9.7200000000000006,9.9900000000000002,8.4700000000000006,4.3300000000000001,7.3700000000000001,4.3300000000000001,6.3900000000000006,11.92
HE buys from firms/state,0.23000000000000001,0.12,0.22,0.14000000000000001,0.16,0.44,0.26000000000000001,0.089999999999999997,0.19,0.27000000000000002,0.28999999999999998,0.20000000000000001,0.050000000000000003,0.41000000000000003
HE capital stock (FCFA),3072975.7200000002,152156.26000000001,110597.77,151996.01000000001,5031693.8899999997,90590.509999999995,96459.540000000008,341238.66999999998,168336.30000000002,1698070.3400000001,118585.58,127025.34,83550.699999999997,511386.98999999999
HE costs (FCFA),100619.09,18671.549999999999,33460.590000000004,28241.59,38306.349999999999,22897.760000000002,30731.77,136306.60000000001,36273.950000000004,46995.129999999997,29567.93,68071.300000000003,33605.840000000004,64813.279999999999
HE has any credit access,0.14000000000000001,0.20999999999999999,0.38,0.19,0.54000000000000004,0.33000000000000002,0.35000000000000003,0.58999999999999997,0.20000000000000001,0.25,0.22,0.40000000000000002,0.55000000000000004,0.37
HE has electricity,0.62,1,0.81000000000000005,1,1,0.83000000000000007,1,1,1,1,1,1,1,0.71999999999999997
HE has external (non-HH) employees,0.90000000000000002,1,0.96999999999999997,0.98999999999999999,0.96999999999999997,1,1,0.91000000000000003,0.97999999999999998,1,1,1,0.98999999999999999,0.85999999999999999
HE has formal credit access,0,0.12,0.089999999999999997,0.089999999999999997,0.23000000000000001,0.059999999999999998,0.089999999999999997,0.19,0.14000000000000001,0,0,0.029999999999999999,0.22,0.059999999999999998
HE has formal premises,0.62,0.20999999999999999,0.17999999999999999,0.26000000000000001,0.25,0.20999999999999999,0.16,0.17000000000000001,0.070000000000000007,0.14999999999999999,0.13,0.20999999999999999,0.19,0.080000000000000002
HE has informal credit access,0.14000000000000001,0.089999999999999997,0.35999999999999999,0.10000000000000001,0.32000000000000001,0.27000000000000002,0.26000000000000001,0.40000000000000002,0.089999999999999997,0.25,0.22,0.37,0.37,0.34000000000000002
HE has phone,1,1,0.96999999999999997,1,1,1,1,1,1,1,1,1,1,0.95999999999999996
HE has tax ID,0.02,0.16,0.050000000000000003,0,0.12,0,0.14000000000000001,0.02,0.029999999999999999,0.13,0.050000000000000003,0.14000000000000001,0.080000000000000002,0.17000000000000001
HE has water,0.33000000000000002,0.029999999999999999,0.10000000000000001,0.080000000000000002,0.46000000000000002,0.23000000000000001,0,0.33000000000000002,1,0.23000000000000001,0.19,0.17999999999999999,0.25,0.23000000000000001
HE keeps accounts,0.01,0.089999999999999997,0.040000000000000001,0,0.12,0.080000000000000002,0.089999999999999997,0,0.029999999999999999,0.10000000000000001,0,0,0,0.14999999999999999
HE operates from home,0.17999999999999999,0.39000000000000001,0.46000000000000002,0.46000000000000002,0.53000000000000003,0.45000000000000001,0.51000000000000001,0.39000000000000001,0.55000000000000004,0.28000000000000003,0.58999999999999997,0.28000000000000003,0.35999999999999999,0.31
HE pays rent,0.72999999999999998,1,0.95000000000000007,1,0.46000000000000002,0.67000000000000004,1,1,0.5,1,1,0.35000000000000003,0.93000000000000005,1
HE profits (FCFA),128498.37000000001,26530.77,56449.900000000001,38518.709999999999,40540.190000000002,14124.389999999999,12876.52,18643.420000000002,20875.07,50459.470000000001,24233.380000000001,-3460.3400000000001,48698.700000000004,54037.739999999998
HE revenue per worker (FCFA),313096.07000000001,3000000,78948.940000000002,473642.35000000003,340021.48999999999,351000,70000,1395511.96,2302435.8300000001,410142.60000000003,641480.5,25000,358152.64000000001,244461.45999999999
HE sells to firms/state,0,0.070000000000000007,0.16,0.089999999999999997,0.12,0.13,0,0.20999999999999999,0.10000000000000001,0,0.10000000000000001,0,0,0
HH cultivates agricultural land (superf > 0),0.01,0.31,0.75,0.83000000000000007,0.58999999999999997,0.62,0.71999999999999997,0.56000000000000005,0.56000000000000005,0.39000000000000001,0.76000000000000001,0.75,0.34000000000000002,0.35000000000000003
HH employees in HE,0.27000000000000002,0.059999999999999998,0.14000000000000001,0.32000000000000001,0.20999999999999999,0.029999999999999999,0.14000000000000001,0.19,0.080000000000000002,0.16,0.16,0.070000000000000007,0.16,0.34000000000000002
HH has 0 HE,0.41000000000000003,0.52000000000000002,0.14000000000000001,0.31,0.55000000000000004,0.20000000000000001,0.54000000000000004,0.27000000000000002,0.47999999999999998,0.65000000000000002,0.20000000000000001,0.48999999999999999,0.28000000000000003,0.19
HH has 1 HE,0.57000000000000006,0.41999999999999998,0.66000000000000003,0.47000000000000003,0.29999999999999999,0.56000000000000005,0.44,0.68000000000000005,0.38,0.35000000000000003,0.70999999999999996,0.44,0.65000000000000002,0.60999999999999999
HH has 2 HE,0,0.050000000000000003,0.059999999999999998,0.22,0.14000000000000001,0.20000000000000001,0.02,0.029999999999999999,0.12,0,0.080000000000000002,0.01,0.029999999999999999,0.17000000000000001
HH has 3 HE,0.01,0,0.14000000000000001,0,0,0,0,0.02,0.01,0,0.01,0.059999999999999998,0.040000000000000001,0.029999999999999999
HH has 4+ HE,0,0.01,0,0,0,0.029999999999999999,0,0,0,0,0,0,0,0
HH has internet access,0,0,,,0,,,0,0,0,0,0,0,0
HH has non-agric enterprise owner,0.70000000000000007,0.76000000000000001,0.57000000000000006,0.40000000000000002,0.62,0.41000000000000003,0.41999999999999998,0.63,0.60999999999999999,0.56000000000000005,0.41999999999999998,0.41000000000000003,0.68000000000000005,0.63
HH owns a non-agric enterprise,0.58999999999999997,0.47999999999999998,0.85999999999999999,0.69000000000000006,0.45000000000000001,0.80000000000000004,0.46000000000000002,0.72999999999999998,0.52000000000000002,0.35000000000000003,0.80000000000000004,0.51000000000000001,0.71999999999999997,0.81000000000000005
HH owns any livestock,0.26000000000000001,0.54000000000000004,0.85999999999999999,0.83999999999999997,0.71999999999999997,0.47999999999999998,0.66000000000000003,0.80000000000000004,0.88,0.68000000000000005,0.53000000000000003,0.71999999999999997,0.54000000000000004,0.5
Has health insurance/coverage (couvmal),0.050000000000000003,0,0.02,0,0.01,0.01,0.01,0.01,0,0.02,0,0,0.01,0.01
Housing & utilities burden (COICOP 4 share of total cons.),0.19,0.17999999999999999,0.16,0.17999999999999999,0.17000000000000001,0.16,0.12,0.17000000000000001,0.14999999999999999,0.14999999999999999,0.16,0.16,0.16,0.19
Idiosyncratic economic shock,0.11,0.28000000000000003,0.12,0.23000000000000001,0.12,0.080000000000000002,0.16,0.14000000000000001,0.20999999999999999,0.20000000000000001,0.13,0.12,0.17000000000000001,0.14000000000000001
Improved lighting (grid or solar),1,1,0.95999999999999996,0.93000000000000005,0.96999999999999997,0.96999999999999997,0.90000000000000002,0.93000000000000005,0.94000000000000006,0.94000000000000006,0.93000000000000005,0.95999999999999996,0.95999999999999996,0.90000000000000002
Informal electricity connection (neighbour/pole),0.01,0,0,0.029999999999999999,0.02,0,0.01,0.02,0.02,0,0.01,0,0,0.080000000000000002
Main HE owner is female,0.35999999999999999,0.67000000000000004,0.64000000000000001,0.69000000000000006,0.81000000000000005,0.85999999999999999,0.72999999999999998,0.65000000000000002,0.72999999999999998,0.75,0.71999999999999997,0.68000000000000005,0.76000000000000001,0.65000000000000002
Main HE owner is married,0.92000000000000004,0.89000000000000001,0.79000000000000004,0.81000000000000005,0.80000000000000004,0.63,0.96999999999999997,0.46000000000000002,0.79000000000000004,0.72999999999999998,0.70999999999999996,0.70000000000000007,0.57999999999999996,0.82000000000000006
Market food share (% total cons.),0.31,0.41999999999999998,0.40000000000000002,0.41000000000000003,0.38,0.32000000000000001,0.31,0.47999999999999998,0.48999999999999999,0.47000000000000003,0.38,0.37,0.40000000000000002,0.38
Monthly electricity spend (FCFA),10796.67,18714.209999999999,9043.9200000000001,10652.4,13162.26,10710.34,8718.7199999999993,17632.650000000001,9495.8600000000006,28258.73,13200.220000000001,25815.940000000002,12085.719999999999,15584.889999999999
Non-HH employees in HE,1.0700000000000001,0.12,0.98999999999999999,0.57000000000000006,0.77000000000000002,0.17999999999999999,0.28999999999999998,0.19,0.39000000000000001,0.51000000000000001,0.41000000000000003,0.47999999999999998,0.14000000000000001,0.34000000000000002
Non-food consumption share,0.67000000000000004,0.54000000000000004,0.5,0.5,0.52000000000000002,0.56000000000000005,0.52000000000000002,0.47999999999999998,0.47000000000000003,0.48999999999999999,0.47999999999999998,0.47999999999999998,0.56000000000000005,0.56000000000000005
Non-wage employed (% of employed),0.5,0.78000000000000003,0.83999999999999997,0.87,0.80000000000000004,0.76000000000000001,0.88,0.79000000000000004,0.84999999999999998,0.70999999999999996,0.88,0.76000000000000001,0.65000000000000002,0.62
Number of employees in HE,1.8100000000000001,0.33000000000000002,3.0899999999999999,2.5300000000000002,0.45000000000000001,0.35000000000000003,0.35000000000000003,0.77000000000000002,1.4099999999999999,1,1.01,0.41000000000000003,0.78000000000000003,1.0700000000000001
Number poor $3.00/day (millions),0.02,0.23999999999999999,0.23999999999999999,0.25,0.35000000000000003,0.070000000000000007,0.33000000000000002,0.20000000000000001,0.20000000000000001,0.20000000000000001,0.23999999999999999,0.41000000000000003,0.25,0.13
Number poor $4.20/day (millions),0.13,0.67000000000000004,0.53000000000000003,0.48999999999999999,0.65000000000000002,0.12,0.57000000000000006,0.48999999999999999,0.38,0.44,0.42999999999999999,0.63,0.62,0.37
Own-production food share (% total cons.),0,0.029999999999999999,0.059999999999999998,0.080000000000000002,0.070000000000000007,0.089999999999999997,0.13,0.02,0.029999999999999999,0.02,0.11,0.10000000000000001,0.02,0.029999999999999999
Owns ceiling fan,0.029999999999999999,0.11,0.029999999999999999,0.02,0,0.070000000000000007,0,0,0,0.070000000000000007,0,0.01,0.050000000000000003,0
Owns wall AC/split,0.02,0.17999999999999999,0,0,0,0,0.059999999999999998,0.01,0.089999999999999997,0.070000000000000007,0.029999999999999999,0.23999999999999999,0.02,0
Owns water heater,0.029999999999999999,0.080000000000000002,0,0,0,0,0,0.070000000000000007,0,0.029999999999999999,0,0.040000000000000001,0,0
Poor at $3.00/day (2021 PPP),0,0.13,0.25,0.33000000000000002,0.28000000000000003,0.35999999999999999,0.38,0.17999999999999999,0.26000000000000001,0.17000000000000001,0.40000000000000002,0.44,0.11,0.17999999999999999
Poor at $4.20/day (2021 PPP),0.029999999999999999,0.35000000000000003,0.55000000000000004,0.64000000000000001,0.52000000000000002,0.62,0.66000000000000003,0.45000000000000001,0.48999999999999999,0.39000000000000001,0.70999999999999996,0.69000000000000006,0.28000000000000003,0.51000000000000001
Prepaid meter (among grid-connected),0.48999999999999999,0.35999999999999999,0.25,0.23999999999999999,0.35000000000000003,0.35000000000000003,0.33000000000000002,0.5,0.32000000000000001,0.48999999999999999,0.39000000000000001,0.48999999999999999,0.40000000000000002,0.54000000000000004
Primary cooking fuel biomass (wood/charcoal),0.26000000000000001,0.34000000000000002,0.14000000000000001,0.44,0.029999999999999999,0.17999999999999999,0.20000000000000001,0.39000000000000001,0.17999999999999999,0.11,0.23000000000000001,0.10000000000000001,0.16,0.28999999999999998
Primary cooking fuel clean (gas/electricity),0.59999999999999998,0.66000000000000003,0.83000000000000007,0.56000000000000005,0.95000000000000007,0.82000000000000006,0.80000000000000004,0.60999999999999999,0.82000000000000006,0.80000000000000004,0.77000000000000002,0.90000000000000002,0.83999999999999997,0.57999999999999996
Proxy: owns gas/electric cooker (cuisin),0.14000000000000001,0,0.01,0,0.01,0,0.01,0.01,0,0.02,0,0,0.029999999999999999,0.02
Safe drinking water – dry season,0.97999999999999998,0.5,0.75,0.96999999999999997,0.89000000000000001,0.77000000000000002,0.34000000000000002,0.95000000000000007,0.88,0.90000000000000002,0.39000000000000001,0.63,0.93000000000000005,0.53000000000000003
Sanitary toilet facility,0.95000000000000007,0.85999999999999999,0.69000000000000006,0.48999999999999999,0.53000000000000003,0.23999999999999999,0.10000000000000001,0.59999999999999998,0.47000000000000003,0.51000000000000001,0.20000000000000001,0.25,0.57000000000000006,0.47000000000000003
