indicator,estimateDAKAR,estimateDIOURBEL,estimateFATICK,estimateKAFFRINE,estimateKAOLACK,estimateKEDOUGOU,estimateKOLDA,estimateLOUGA,estimateMATAM,estimateSAINT_LOUIS,estimateSEDHIOU,estimateTAMBACOUNDA,estimateTHIES,estimateZIGUINCHOR
(max) con_1,0.31,0.16,0.12,0.02,0.14000000000000001,0.23000000000000001,0.12,0.059999999999999998,0.059999999999999998,0.22,0.10000000000000001,0.080000000000000002,0.040000000000000001,0.33000000000000002
(max) con_10,0.080000000000000002,0.02,0.059999999999999998,0.029999999999999999,0,0.089999999999999997,0,0,0,0.070000000000000007,0,0,0.040000000000000001,0
(max) con_11,0.35000000000000003,0.32000000000000001,0.28000000000000003,0.14999999999999999,0,0.23999999999999999,0.34000000000000002,0.17000000000000001,0.22,0.17000000000000001,0.050000000000000003,0,0.040000000000000001,0.25
(max) con_12,0.040000000000000001,0,0.040000000000000001,0,0,0,0.059999999999999998,0.089999999999999997,0,0.19,0,0,0,0
(max) con_13,0,0,0.14000000000000001,0,0,0.050000000000000003,0,0,0,0,0.050000000000000003,0,0,0
(max) con_14,0.080000000000000002,0.040000000000000001,0.48999999999999999,0.17999999999999999,0,0.14000000000000001,0.40000000000000002,0.33000000000000002,0.41999999999999998,0.059999999999999998,0.26000000000000001,0.11,0.10000000000000001,0.10000000000000001
(max) con_15,0.37,0.11,0.11,0.14000000000000001,0.20000000000000001,0.14000000000000001,0.25,0.38,0.17999999999999999,0.23999999999999999,0.37,0.17000000000000001,0.27000000000000002,0.26000000000000001
(max) con_2,0.14000000000000001,0.17000000000000001,0.64000000000000001,0.35999999999999999,0.70999999999999996,0.47000000000000003,0.12,0.68000000000000005,0.40000000000000002,0.31,0.16,0.32000000000000001,0.56000000000000005,0.42999999999999999
(max) con_3,0.65000000000000002,0.35000000000000003,0.67000000000000004,0.73999999999999999,0.83000000000000007,0.66000000000000003,0.80000000000000004,0.63,0.66000000000000003,0.51000000000000001,0.75,0.72999999999999998,0.81000000000000005,0.58999999999999997
(max) con_4,0.080000000000000002,0,0,0.14000000000000001,0.23999999999999999,0.080000000000000002,0.059999999999999998,0.10000000000000001,0,0.13,0.14000000000000001,0.23000000000000001,0.16,0.029999999999999999
(max) con_5,0.029999999999999999,0.02,0,0.02,0,0,0,0,0,0,0,0,0.070000000000000007,0
(max) con_6,0.14000000000000001,0.20999999999999999,0.20999999999999999,0.17000000000000001,0.54000000000000004,0.23999999999999999,0,0.28999999999999998,0.040000000000000001,0.27000000000000002,0.040000000000000001,0.47999999999999998,0.48999999999999999,0.37
(max) con_7,0.14000000000000001,0.080000000000000002,0,0,0.23000000000000001,0.050000000000000003,0,0.02,0,0.059999999999999998,0,0.26000000000000001,0.059999999999999998,0.12
(max) con_8,0.059999999999999998,0,0,0,0,0,0,0,0,0.11,0,0.12,0,0.040000000000000001
(max) con_9,0.040000000000000001,0,0,0,0.13,0,0,0,0,0,0,0,0,0
(max) ext_emp,0.93000000000000005,1,0.97999999999999998,0.98999999999999999,0.96999999999999997,1,1,0.96999999999999997,0.95000000000000007,1,1,1,0.98999999999999999,0.89000000000000001
Access to electricity (grid or off-grid),0.96999999999999997,0.80000000000000004,0.73999999999999999,0.66000000000000003,0.79000000000000004,0.5,0.51000000000000001,0.64000000000000001,0.54000000000000004,0.73999999999999999,0.71999999999999997,0.52000000000000002,0.89000000000000001,0.85999999999999999
