indicator,estimateTotal,estimateCapital,estimateOther_Urban,estimateRural,estimateFemale_HH,estimateMale_HH,estimateYouth_HH,estimateOlder_HH,estimateQ1,estimateQ2,estimateQ3,estimateQ4,estimateQ5
"Access to electricity (grid, SDG 7.1.1)",0.68000000000000005,0.96999999999999997,0.87,0.45000000000000001,0.82000000000000006,0.62,0.56000000000000005,0.68000000000000005,0.28000000000000003,0.57999999999999996,0.72999999999999998,0.84999999999999998,0.95000000000000007
Any power outage in last 7 days (grid-connected),0.33000000000000002,0.37,0.25,0.34000000000000002,0.26000000000000001,0.35000000000000003,0.25,0.33000000000000002,0.40000000000000002,0.33000000000000002,0.29999999999999999,0.35999999999999999,0.22
Average outage duration (code),1.78,1.78,1.76,1.8100000000000001,1.6600000000000001,1.8100000000000001,2.73,1.74,1.9299999999999999,1.6500000000000001,1.5700000000000001,1.76,1.97
COICOP 10: education (share),0.02,0.029999999999999999,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.029999999999999999
COICOP 11: restaurants & hotels (share),0.10000000000000001,0.14999999999999999,0.10000000000000001,0.070000000000000007,0.10000000000000001,0.089999999999999997,0.10000000000000001,0.089999999999999997,0.050000000000000003,0.089999999999999997,0.10000000000000001,0.11,0.13
COICOP 12: insurance & financial (share),0,0,0,0,0,0,0,0,0,0,0,0,0
COICOP 13: personal care & effects (share),0.029999999999999999,0.029999999999999999,0.029999999999999999,0.02,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.02,0.02,0.029999999999999999,0.029999999999999999,0.029999999999999999
COICOP 1: food & non-alc. beverages (share),0.45000000000000001,0.33000000000000002,0.44,0.5,0.41999999999999998,0.46000000000000002,0.45000000000000001,0.45000000000000001,0.53000000000000003,0.47999999999999998,0.45000000000000001,0.41999999999999998,0.35000000000000003
COICOP 2: alcohol & tobacco (share),0,0,0,0,0,0,0,0,0,0,0,0,0
COICOP 3: clothing & footwear (share),0.059999999999999998,0.050000000000000003,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.050000000000000003,0.050000000000000003,0.059999999999999998,0.059999999999999998,0.059999999999999998
COICOP 4: housing & utilities (share),0.17000000000000001,0.19,0.16,0.17000000000000001,0.17999999999999999,0.16,0.17000000000000001,0.17000000000000001,0.17000000000000001,0.17000000000000001,0.16,0.17000000000000001,0.17000000000000001
COICOP 5: furnishings & equipment (share),0.050000000000000003,0.059999999999999998,0.059999999999999998,0.050000000000000003,0.059999999999999998,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.059999999999999998,0.070000000000000007
COICOP 6: health (share),0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.029999999999999999
COICOP 7: transport (share),0.029999999999999999,0.050000000000000003,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.040000000000000001,0.040000000000000001,0.029999999999999999,0.02,0.029999999999999999,0.029999999999999999,0.040000000000000001,0.050000000000000003
COICOP 8: information & communication (share),0.059999999999999998,0.070000000000000007,0.070000000000000007,0.050000000000000003,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.050000000000000003,0.059999999999999998,0.059999999999999998,0.059999999999999998,0.070000000000000007
COICOP 9: recreation & culture (share),0,0,0,0,0,0,0,0,0,0,0,0,0
Connected to electricity grid (SDG7.1.1),0.97999999999999998,0.98999999999999999,0.97999999999999998,0.97999999999999998,0.97999999999999998,0.97999999999999998,0.98999999999999999,0.97999999999999998,1,0.95999999999999996,0.97999999999999998,0.97999999999999998,0.97999999999999998
Covariate economic shock,0.41000000000000003,0.28000000000000003,0.41999999999999998,0.47000000000000003,0.40000000000000002,0.41999999999999998,0.40000000000000002,0.41999999999999998,0.42999999999999999,0.42999999999999999,0.46000000000000002,0.42999999999999999,0.32000000000000001
"Covariate natural shock (drought, flood, etc.)",0.22,0.10000000000000001,0.17000000000000001,0.28999999999999998,0.17000000000000001,0.23999999999999999,0.22,0.22,0.28999999999999998,0.27000000000000002,0.23000000000000001,0.19,0.10000000000000001
Covariate violence/conflict shock,0.01,0,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0
Cultivated area (ha),3.9399999999999999,0.66000000000000003,2.4199999999999999,4.1399999999999997,2.8300000000000001,4.0899999999999999,4.1399999999999997,3.9199999999999999,3.8500000000000001,4.1100000000000003,4.29,3.54,3.3500000000000001
Days with an outage (last 7),2.21,2.7200000000000002,1.9000000000000001,2.0800000000000001,2.4399999999999999,2.1499999999999999,2.27,2.21,2.1699999999999999,2.2400000000000002,2.2800000000000002,1.95,2.71
Durable floor materials,0.80000000000000004,0.95999999999999996,0.89000000000000001,0.70000000000000007,0.89000000000000001,0.77000000000000002,0.77000000000000002,0.81000000000000005,0.57999999999999996,0.75,0.83999999999999997,0.90000000000000002,0.95000000000000007
Durable roof materials,0.89000000000000001,0.98999999999999999,0.97999999999999998,0.80000000000000004,0.96999999999999997,0.85999999999999999,0.84999999999999998,0.89000000000000001,0.70000000000000007,0.87,0.93000000000000005,0.95000000000000007,0.97999999999999998
Durable wall materials,0.91000000000000003,0.98999999999999999,0.95999999999999996,0.84999999999999998,0.95999999999999996,0.89000000000000001,0.89000000000000001,0.91000000000000003,0.80000000000000004,0.88,0.92000000000000004,0.95999999999999996,0.97999999999999998
"Employed (activ12m, 15–64)",0.57000000000000006,0.56000000000000005,0.52000000000000002,0.60999999999999999,0.45000000000000001,0.73999999999999999,0.46000000000000002,0.75,0.58999999999999997,0.57999999999999996,0.57000000000000006,0.55000000000000004,0.57000000000000006
Employed in agriculture (% of employed),0.29999999999999999,0.029999999999999999,0.14999999999999999,0.53000000000000003,0.26000000000000001,0.33000000000000002,0.34000000000000002,0.26000000000000001,0.64000000000000001,0.42999999999999999,0.28000000000000003,0.19,0.089999999999999997
Employed in industry (% of employed),0.25,0.32000000000000001,0.31,0.17999999999999999,0.17999999999999999,0.31,0.28000000000000003,0.23000000000000001,0.14999999999999999,0.23000000000000001,0.28999999999999998,0.29999999999999999,0.26000000000000001
Employed in services (% of employed),0.45000000000000001,0.65000000000000002,0.54000000000000004,0.28999999999999998,0.57000000000000006,0.35999999999999999,0.39000000000000001,0.51000000000000001,0.20999999999999999,0.34000000000000002,0.41999999999999998,0.52000000000000002,0.65000000000000002
