indicator,estimateDakar,estimateKaolack_Fatick_Kaffrine,estimateKedougou,estimateSaint_Louis_Matam,estimateThies_Diourbel_Louga,estimateZiguinchor_Tamba_Kolda_S
"Access to electricity (grid, SDG 7.1.1)",0.96999999999999997,0.57000000000000006,0.19,0.60999999999999999,0.69000000000000006,0.44
Any power outage in last 7 days (grid-connected),0.37,0.39000000000000001,0.20000000000000001,0.19,0.33000000000000002,0.28999999999999998
Average outage duration (code),1.78,1.7,1.98,2.54,1.54,2.0699999999999998
COICOP 10: education (share),0.029999999999999999,0.01,0.01,0.01,0.01,0.01
COICOP 11: restaurants & hotels (share),0.14999999999999999,0.080000000000000002,0.080000000000000002,0.070000000000000007,0.089999999999999997,0.070000000000000007
COICOP 12: insurance & financial (share),0,0,0,0,0,0
COICOP 13: personal care & effects (share),0.029999999999999999,0.02,0.02,0.029999999999999999,0.029999999999999999,0.02
COICOP 1: food & non-alc. beverages (share),0.33000000000000002,0.48999999999999999,0.44,0.53000000000000003,0.47000000000000003,0.47999999999999998
COICOP 2: alcohol & tobacco (share),0,0,0,0,0,0
COICOP 3: clothing & footwear (share),0.050000000000000003,0.059999999999999998,0.070000000000000007,0.059999999999999998,0.059999999999999998,0.059999999999999998
COICOP 4: housing & utilities (share),0.19,0.17000000000000001,0.16,0.14999999999999999,0.17000000000000001,0.16
COICOP 5: furnishings & equipment (share),0.059999999999999998,0.059999999999999998,0.050000000000000003,0.050000000000000003,0.059999999999999998,0.040000000000000001
COICOP 6: health (share),0.029999999999999999,0.029999999999999999,0.029999999999999999,0.040000000000000001,0.029999999999999999,0.029999999999999999
COICOP 7: transport (share),0.050000000000000003,0.029999999999999999,0.050000000000000003,0.02,0.029999999999999999,0.040000000000000001
COICOP 8: information & communication (share),0.070000000000000007,0.059999999999999998,0.080000000000000002,0.050000000000000003,0.059999999999999998,0.059999999999999998
COICOP 9: recreation & culture (share),0,0,0,0,0,0
Connected to electricity grid (SDG7.1.1),0.98999999999999999,0.97999999999999998,1,0.97999999999999998,1,0.95000000000000007
Covariate economic shock,0.28000000000000003,0.47999999999999998,0.41999999999999998,0.55000000000000004,0.47999999999999998,0.33000000000000002
"Covariate natural shock (drought, flood, etc.)",0.10000000000000001,0.23000000000000001,0.25,0.41999999999999998,0.20999999999999999,0.23999999999999999
Covariate violence/conflict shock,0,0.01,0.070000000000000007,0.050000000000000003,0.01,0.02
Cultivated area (ha),0.66000000000000003,4.7000000000000002,2.3799999999999999,2.1499999999999999,4.1500000000000004,3.8999999999999999
Days with an outage (last 7),2.7200000000000002,1.8600000000000001,2.1699999999999999,1.8400000000000001,2.1499999999999999,2.1800000000000002
Durable floor materials,0.95999999999999996,0.81000000000000005,0.63,0.69000000000000006,0.83999999999999997,0.63
Durable roof materials,0.98999999999999999,0.83000000000000007,0.52000000000000002,0.84999999999999998,0.92000000000000004,0.79000000000000004
Durable wall materials,0.98999999999999999,0.93000000000000005,0.88,0.87,0.87,0.88
"Employed (activ12m, 15–64)",0.56000000000000005,0.60999999999999999,0.57000000000000006,0.54000000000000004,0.57999999999999996,0.56000000000000005
Employed in agriculture (% of employed),0.029999999999999999,0.51000000000000001,0.47000000000000003,0.46000000000000002,0.26000000000000001,0.52000000000000002
Employed in industry (% of employed),0.32000000000000001,0.17000000000000001,0.28999999999999998,0.20000000000000001,0.28000000000000003,0.19
Employed in services (% of employed),0.65000000000000002,0.32000000000000001,0.23999999999999999,0.34000000000000002,0.46000000000000002,0.28999999999999998
Exposed to any shock (past 3 years),0.54000000000000004,0.70000000000000007,0.68000000000000005,0.81000000000000005,0.70000000000000007,0.64000000000000001
Food consumption share,0.33000000000000002,0.48999999999999999,0.44,0.53000000000000003,0.47000000000000003,0.47999999999999998
